rpm,air_gap_mm,B0_T,fem_torque_Nm,torque_compensation_Nm,torque_Nm
1900,6.25,0.1696172066,0.0688133524,0.0207300000,0.0895433524
1900,6.50,0.1627827713,0.0633796415,0.0207300000,0.0841096415
1900,6.75,0.1562862994,0.0584217711,0.0207300000,0.0791517711
1900,7.00,0.1501094410,0.0538950548,0.0207300000,0.0746250548
1900,7.25,0.1442347910,0.0497591510,0.0207300000,0.0704891510
1900,7.50,0.1386458613,0.0459776450,0.0207300000,0.0667076450
1900,7.75,0.1333270508,0.0425176691,0.0207300000,0.0632476691
1900,8.00,0.1282636106,0.0393495549,0.0207300000,0.0600795549
1900,8.25,0.1234416095,0.0364465189,0.0207300000,0.0571765189
1900,8.50,0.1188478973,0.0337843764,0.0207300000,0.0545143764
1900,8.75,0.1144700677,0.0313412838,0.0207300000,0.0520712838
1900,9.00,0.1102964218,0.0290975049,0.0207300000,0.0498275049
1900,9.25,0.1063159319,0.0270352010,0.0207300000,0.0477652010
1900,9.50,0.1025182057,0.0251382416,0.0207300000,0.0458682416
1900,9.75,0.0988934521,0.0233920335,0.0207300000,0.0441220335
1900,10.00,0.0954324471,0.0217833678,0.0207300000,0.0425133678
1900,10.25,0.0921265026,0.0203002820,0.0207300000,0.0410302820
1900,10.50,0.0889674348,0.0189319365,0.0207300000,0.0396619365
1900,10.75,0.0859475351,0.0176685030,0.0207300000,0.0383985030
1900,11.00,0.0830595421,0.0165010647,0.0207300000,0.0372310647
1900,11.25,0.0802966151,0.0154215270,0.0207300000,0.0361515270
1900,11.50,0.0776523087,0.0144225365,0.0207300000,0.0351525365
1900,11.75,0.0751205491,0.0134974091,0.0207300000,0.0342274091
1900,12.00,0.0726956118,0.0126400646,0.0207300000,0.0333700646
1900,12.25,0.0703720999,0.0118449689,0.0207300000,0.0325749689
1900,12.50,0.0681449248,0.0111070809,0.0207300000,0.0318370809
1900,12.75,0.0660092870,0.0104218060,0.0207300000,0.0311518060
1900,13.00,0.0639606584,0.0097849532,0.0207300000,0.0305149532
1900,13.25,0.0619947661,0.0091926972,0.0207300000,0.0299226972
1900,13.50,0.0601075765,0.0086415439,0.0207300000,0.0293715439
1900,13.75,0.0582952810,0.0081282996,0.0207300000,0.0288582996
1900,14.00,0.0565542822,0.0076500433,0.0207300000,0.0283800433
2000,5.00,0.2095693764,0.1105767538,0.0207300000,0.1313067538
2000,5.25,0.2007356843,0.1014512401,0.0207300000,0.1221812401
2000,5.50,0.1923463792,0.0931485770,0.0207300000,0.1138785770
2000,5.75,0.1843782167,0.0855908648,0.0207300000,0.1063208648
2000,6.00,0.1768089220,0.0787075777,0.0207300000,0.0994375777
2000,6.25,0.1696172066,0.0724349238,0.0207300000,0.0931649238
2000,6.50,0.1627827713,0.0667152426,0.0207300000,0.0874452426
2000,6.75,0.1562862994,0.0614964449,0.0207300000,0.0822264449
2000,7.00,0.1501094410,0.0567314926,0.0207300000,0.0774614926
2000,7.25,0.1442347910,0.0523779206,0.0207300000,0.0731079206
2000,7.50,0.1386458613,0.0483973981,0.0207300000,0.0691273981
2000,7.75,0.1333270508,0.0447553274,0.0207300000,0.0654853274
2000,8.00,0.1282636106,0.0414204789,0.0207300000,0.0621504789
2000,8.25,0.1234416095,0.0383646593,0.0207300000,0.0590946593
2000,8.50,0.1188478973,0.0355624112,0.0207300000,0.0562924112
2000,8.75,0.1144700677,0.0329907412,0.0207300000,0.0537207412
2000,9.00,0.1102964218,0.0306288747,0.0207300000,0.0513588747
2000,9.25,0.1063159319,0.0284580340,0.0207300000,0.0491880340
2000,9.50,0.1025182057,0.0264612397,0.0207300000,0.0471912397
2000,9.75,0.0988934521,0.0246231306,0.0207300000,0.0453531306
